"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";1;0;8;1;0;0;0;8;32;5;2;192;45;45;5;5;0;7;7;232;5;232;2;1;0
"2";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;15;0;0;0;0;0;-1;0;-1;0;2;0
"3";"/org.eclipse.ui/Eclipse UI Standard Components/org/eclipse/ui/wizards/datatransfer/IImportStructureProvider.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;5;0;0;0;0;0;-1;0;-1;0;2;0
"4";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/ExceptionBreakpointFilterEditor.java";2;0;12;2;0;0;3;9;42;0;1;209;42;141;6;5;0;6;6;209;5;209;1;4;4
"5";"/org.eclipse.swt/Eclipse SWT Printing/gtk/org/eclipse/swt/printing/Printer.java";0;0;3;0;0;0;2;1;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;3;0
"6";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/target/GetAction.java";4;4;8;3;6;2;8;0;201;0;0;265;215;224;4;0;4;0;6;265;4;287;2;4;1
"7";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";1;0;7;1;0;0;3;4;275;0;1;234;275;312;4;3;0;4;4;234;3;234;1;1;0
"8";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Caret.java";0;0;4;0;0;0;2;2;0;0;0;-1;0;37;0;0;0;0;0;-1;0;-1;0;4;0
"9";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/impl/JarFileDocument.java";1;0;8;1;0;0;2;6;18;0;1;68;18;182;4;3;0;4;4;68;3;68;1;2;0
"10";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/ResourcePathSorter.java";1;0;4;1;0;0;0;4;20;2;2;78;37;37;2;2;0;4;4;78;2;88;2;1;0
"11";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/dialogs/CreateProjectWizard.java";1;0;5;1;0;0;1;4;16;0;1;212;16;33;3;2;0;3;3;212;2;212;1;2;0
"12";"/org.eclipse.team.ftp/src/org/eclipse/team/internal/ftp/Policy.java";1;0;4;1;3;1;4;0;27;0;0;265;27;29;3;0;2;0;3;265;2;265;1;1;0
"13";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/dialogs/StartupPreferencePage.java";0;0;2;0;0;0;2;0;0;0;0;-1;0;41;0;0;0;0;0;-1;0;-1;0;2;0
"14";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/TypeImpl.java";3;0;12;3;0;0;0;12;126;4;3;149;214;230;4;6;0;9;9;195;6;239;3;3;0
"15";"/org.eclipse.search/search/org/eclipse/search/internal/core/text/TypedResourceVisitor.java";0;0;5;0;0;0;1;4;0;0;0;-1;0;58;0;0;0;0;0;-1;0;-1;0;2;0
"16";"/org.eclipse.jdt.debug/jdi interfaces/com/sun/jdi/request/InvalidRequestStateException.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;4;0;0;0;0;0;-1;0;-1;0;2;0
"17";"/org.eclipse.swt/Eclipse SWT/motif/org/eclipse/swt/widgets/ColorDialog.java";1;0;10;1;2;1;3;7;82;0;0;289;82;495;2;0;1;0;2;289;1;289;1;5;0
"18";"/org.eclipse.core.runtime/src/org/eclipse/core/runtime/QualifiedName.java";0;0;6;0;0;0;2;4;0;0;0;-1;0;235;0;0;0;0;0;-1;0;-1;0;4;0
"19";"/org.eclipse.jdt.ui/ui refactoring/org/eclipse/jdt/internal/ui/refactoring/RefactoringWizardDialog.java";2;0;7;2;3;1;3;4;78;0;0;258;78;88;3;0;2;0;3;258;2;258;1;3;0
"20";"/org.eclipse.ui/Eclipse UI Standard Components/org/eclipse/ui/views/properties/IPropertySheetPage.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;5;0;0;0;0;0;-1;0;-1;0;2;0
"21";"/org.eclipse.team.cvs.core/src/org/eclipse/team/internal/ccvs/core/client/AbstractStructureVisitor.java";2;0;16;2;0;0;2;14;183;3;6;176;372;391;3;7;0;13;13;223;7;223;6;2;1
"22";"/org.eclipse.team.ftp/src/org/eclipse/team/internal/ftp/client/Util.java";0;0;4;0;0;0;4;0;0;0;0;-1;0;276;0;0;0;0;0;-1;0;-1;0;2;0
"23";"/org.eclipse.jdt.debug/jdi interfaces/com/sun/jdi/Accessible.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;4;0;0;0;0;0;-1;0;-1;0;2;0
"24";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/PrimitiveTypeImpl.java";0;0;4;0;0;0;0;4;0;0;0;-1;0;28;0;0;0;0;0;-1;0;-1;0;2;0
"25";"/org.eclipse.swt/Eclipse SWT PI/win32/org/eclipse/swt/internal/win32/DRAWITEMSTRUCT.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;2;0
"26";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Slider.java";0;0;5;0;0;0;1;4;0;0;0;-1;0;29;0;0;0;0;0;-1;0;-1;0;4;0
"27";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/ActionExpression.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;84;0;0;0;0;0;-1;0;-1;0;1;0
"28";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/IWorkingSetManager.java";1;0;7;1;0;0;5;2;58;0;1;245;58;60;5;0;4;5;5;245;4;245;1;1;0
"29";"/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/IEnvironmentVariables.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"30";"/org.eclipse.jdt.debug/jdi interfaces/com/sun/jdi/request/EventRequest.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;2;0
"31";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/request/EventRequestManagerImpl.java";1;0;10;1;0;0;2;8;7;0;1;239;7;112;2;1;0;2;2;239;1;239;1;4;0
"32";"/org.eclipse.search/search/org/eclipse/search/internal/ui/SearchPlugin.java";1;2;11;1;4;2;4;7;52;2;2;41;124;182;2;2;2;4;8;41;4;264;4;2;0
"33";"/org.eclipse.help/src/org/eclipse/help/internal/protocols/URLHandler.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;7;0;0;0;0;0;-1;0;-1;0;2;0
"34";"/org.eclipse.jdt.core/model/org/eclipse/jdt/core/eval/ICodeSnippetRequestor.java";0;0;4;0;0;0;2;2;0;0;0;-1;0;188;0;0;0;0;0;-1;0;-1;0;3;0
"35";"/org.eclipse.pde.core/src/org/eclipse/pde/core/IModelChangedListener.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
"36";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/schema/CompositorPropertySource.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;2;0;0;0;0;0;-1;0;-1;0;1;0
"37";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/model/CVSAdapterFactory.java";1;0;6;1;0;0;0;6;13;0;1;233;13;139;2;1;0;2;2;233;1;233;1;3;0
"38";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/reorg/SourceReferenceAction.java";3;0;14;2;2;1;4;10;52;3;3;138;125;236;3;4;1;7;9;233;5;288;4;3;0
"39";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/CloseEditorAction.java";0;0;5;0;0;0;0;5;0;0;0;-1;0;46;0;0;0;0;0;-1;0;-1;0;4;0
"40";"/org.eclipse.core.boot/src/org/eclipse/core/internal/boot/Policy.java";0;0;6;0;0;0;1;5;0;0;0;-1;0;251;0;0;0;0;0;-1;0;-1;0;2;0
"41";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/correction/ReorgCorrectionsSubProcessor.java";2;0;5;1;0;0;2;3;31;2;2;233;58;108;2;1;1;4;4;233;2;244;2;3;1
"42";"/org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SourceFieldElementInfo.java";0;0;3;0;0;0;1;2;0;0;0;-1;0;113;0;0;0;0;0;-1;0;-1;0;2;0
"43";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/imports/PluginImportOperation.java";1;3;11;1;7;3;8;3;238;0;1;234;448;462;3;2;4;3;10;234;6;278;4;1;0
"44";"/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/Scanner.java";1;0;26;1;0;0;2;24;5266;5;6;38;9383;9419;5;12;0;18;18;67;12;221;6;2;8
"45";"/org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/util/CompoundNameVector.java";0;0;3;0;0;0;1;2;0;0;0;-1;0;17;0;0;0;0;0;-1;0;-1;0;2;1
"46";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchLocatorParser.java";1;0;19;1;0;0;2;17;488;4;4;38;940;1039;4;8;0;12;12;100;8;100;4;3;0
"47";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/jdwp/JdwpReplyPacket.java";0;0;4;0;0;0;0;4;0;0;0;-1;0;25;0;0;0;0;0;-1;0;-1;0;3;0
"48";"/org.eclipse.ui/Eclipse JFace/org/eclipse/jface/viewers/Viewer.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;36;0;0;0;0;0;-1;0;-1;0;3;0
"49";"/org.eclipse.swt/Eclipse SWT/motif/org/eclipse/swt/widgets/Label.java";7;0;18;3;4;1;4;14;141;3;2;76;244;937;4;3;3;5;9;289;6;289;3;10;0
"50";"/org.eclipse.ui/Eclipse UI Text Editor/org/eclipse/ui/texteditor/BasicMarkerUpdater.java";0;0;4;0;0;0;0;4;0;0;0;-1;0;38;0;0;0;0;0;-1;0;-1;0;3;0
"51";"/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/feature/FeatureImport.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;25;0;0;0;0;0;-1;0;-1;0;1;0
"52";"/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/PluginModelDelta.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"53";"/org.eclipse.swt/Eclipse SWT/win32/org/eclipse/swt/graphics/Device.java";0;0;6;0;0;0;2;4;0;0;0;-1;0;90;0;0;0;0;0;-1;0;-1;0;6;0
"54";"/org.eclipse.ui/Eclipse JFace Text/org/eclipse/jface/text/ITextHover.java";0;0;4;0;0;0;1;3;0;0;0;-1;0;15;0;0;0;0;0;-1;0;-1;0;4;0
"55";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/QuickStartAction.java";0;0;9;0;0;0;4;5;0;0;0;-1;0;256;0;0;0;0;0;-1;0;-1;0;4;0
"56";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/ui/actions/IJavaEditorActionDefinitionIds.java";0;0;3;0;0;0;3;0;0;0;0;-1;0;269;0;0;0;0;0;-1;0;-1;0;3;0
"57";"/org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/RenameResourceElementsOperation.java";1;0;8;1;0;0;1;7;18;0;1;68;18;121;4;3;0;4;4;68;3;68;1;3;0
"58";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/reorg/PasteSourceReferencesFromClipboardAction.java";2;0;8;2;2;1;3;5;114;2;2;233;135;155;2;2;1;4;6;233;3;288;3;2;0
"59";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/java/JavaTextMessages.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"60";"/org.eclipse.jdt.ui/core refactoring/org/eclipse/jdt/internal/corext/refactoring/UndoManager.java";0;0;3;0;0;0;2;1;0;0;0;-1;0;57;0;0;0;0;0;-1;0;-1;0;1;0
"61";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/LongValueImpl.java";0;0;4;0;0;0;0;4;0;0;0;-1;0;37;0;0;0;0;0;-1;0;-1;0;2;1
"62";"/org.eclipse.jdt.ui/ui refactoring/org/eclipse/jdt/internal/ui/refactoring/ErrorWizardPage.java";3;3;20;2;5;2;5;15;435;3;2;20;607;858;3;4;3;6;11;20;7;288;4;4;0
"63";"/org.eclipse.compare/compare/org/eclipse/compare/internal/ShowPseudoConflicts.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;7;0;0;0;0;0;-1;0;-1;0;2;0
"64";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/dialogs/InternalErrorDialog.java";1;0;7;1;2;1;3;4;45;0;1;240;59;65;2;1;1;2;4;240;2;246;2;2;0
"65";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/impl/CodeByteStream.java";0;0;3;0;0;0;1;2;0;0;0;-1;0;267;0;0;0;0;0;-1;0;-1;0;2;0
"66";"/org.eclipse.swt/Eclipse SWT PI/motif/org/eclipse/swt/internal/motif/XImage.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;2;0
"67";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/launcher/RuntimeWorkbenchShortcut.java";1;0;5;1;4;1;5;0;23;0;0;280;23;26;4;0;3;0;4;280;3;280;1;1;0
"68";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/SuperTypeReferencePattern.java";1;0;12;1;0;0;1;11;1038;4;2;38;1555;1641;4;4;0;6;6;68;4;68;2;3;1
"69";"/org.eclipse.jdt.launching/launching/org/eclipse/jdt/internal/launching/JRERuntimeClasspathEntryResolver.java";2;0;6;2;5;1;6;0;80;0;0;261;80;87;5;0;4;0;5;261;4;261;1;2;0
"70";"/org.eclipse.swt/Eclipse SWT Custom Widgets/common/org/eclipse/swt/custom/DisplayRenderer.java";0;0;3;0;0;0;1;2;0;0;0;-1;0;497;0;0;0;0;0;-1;0;-1;0;2;0
"71";"/org.eclipse.core.resources/src/org/eclipse/core/internal/utils/Sorter.java";0;0;4;0;0;0;1;3;0;0;0;-1;0;144;0;0;0;0;0;-1;0;-1;0;1;0
"72";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/launcher/ZipTreeNode.java";0;0;1;0;0;0;1;0;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"73";"/org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnExplicitConstructorCall.java";1;0;7;1;0;0;1;6;108;0;1;68;108;194;4;3;0;4;4;68;3;68;1;2;0
"74";"/org.eclipse.ui/Eclipse UI/org/eclipse/ui/internal/SaveAction.java";0;0;5;0;0;0;0;5;0;0;0;-1;0;58;0;0;0;0;0;-1;0;-1;0;4;0
"75";"/org.eclipse.ui/Eclipse JFace/org/eclipse/jface/viewers/IInputProvider.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;5;0;0;0;0;0;-1;0;-1;0;2;0
"76";"/org.eclipse.update.core/src/org/eclipse/update/internal/core/Writer.java";1;0;7;1;0;0;1;6;173;2;2;139;204;231;2;1;1;4;4;139;2;242;2;1;0
"77";"/org.eclipse.compare/compare/org/eclipse/compare/internal/patch/LineReader.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;15;0;0;0;0;0;-1;0;-1;0;1;0
"78";"/org.eclipse.jdt.ui/core refactoring/org/eclipse/jdt/internal/corext/refactoring/rename/RenameJavaProjectRefactoring.java";1;0;7;1;0;0;0;7;62;0;1;139;62;105;3;2;0;3;3;139;2;139;1;2;0
"79";"/org.eclipse.swt/Eclipse SWT/photon/org/eclipse/swt/graphics/GC.java";4;2;20;2;4;2;5;15;899;4;2;36;1364;2099;4;4;2;6;10;36;6;289;4;7;2
"80";"/org.eclipse.jdt.debug/jdi interfaces/com/sun/jdi/event/AccessWatchpointEvent.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;2;0
"81";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/view/PluginsDragAdapter.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"82";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/wizards/buildpaths/CPListElementSorter.java";1;0;5;1;0;0;1;4;2;0;1;13;2;42;2;1;0;2;2;13;1;13;1;3;0
