filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;0;0;6;0;0;0;0;6;0;0;0;-1;0;567;0;2;0;0;0;-1;2;-1;0;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;14;0;0;0;0;14;468;0;1;111;468;0;5;7;0;5;5;111;7;111;1;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;13;0;0;0;0;13;0;0;0;-1;0;0;0;3;0;0;0;-1;3;-1;0;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;0;0;13;0;0;0;0;13;38;0;1;48;38;54;3;4;0;3;3;48;4;48;1;2;1
org.eclipse.core.internal.localstore;0;0;9;0;0;0;0;9;678;0;1;142;678;18;3;2;0;3;3;142;2;142;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;7;0;3;1;4;3;37;0;0;232;37;0;3;0;2;0;3;232;2;232;1;0;0
org.eclipse.pde.internal.build.builder;0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;2
org.eclipse.pde.internal.core.iproduct;0;0;3;0;0;0;0;3;0;0;0;-1;0;46;0;1;0;0;0;-1;1;-1;0;2;0
org.eclipse.swt.internal.gdip;0;0;3;0;0;0;0;3;0;0;0;-1;0;10;0;1;0;0;0;-1;1;-1;0;2;3
org.eclipse.update.core;0;0;4;0;0;0;0;4;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
org.eclipse.ant.internal.ui.antsupport.inputhandler;0;0;5;0;0;0;1;4;0;0;0;-1;0;21;0;1;0;0;0;-1;1;-1;0;1;2
org.eclipse.ui.commands;0;0;11;0;0;0;0;11;57;0;1;195;57;0;4;5;0;4;4;195;5;195;1;1;0
org.eclipse.debug.internal.core.sourcelookup.containers;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;1;0;0;0;-1;1;-1;0;2;0
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;2
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;104;0;1;101;104;0;3;2;0;3;3;101;2;101;1;0;0
org.eclipse.core.internal.indexing;0;0;4;0;0;0;0;4;0;0;0;-1;0;215;0;1;0;0;0;-1;1;-1;0;2;0
org.eclipse.ui.internal.part;1;0;5;1;0;0;0;5;100;0;1;166;100;219;3;2;0;3;3;166;2;166;1;3;0
org.eclipse.compare.internal;0;0;6;0;0;0;1;5;0;0;0;-1;0;16;0;1;0;0;0;-1;1;-1;0;1;2
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.team.internal.ccvs.core.client;0;0;8;0;0;0;0;8;295;0;1;35;295;65;3;2;0;3;3;35;2;35;1;1;1
org.eclipse.jdt.core;0;0;8;0;0;0;0;8;0;0;0;-1;0;81;0;1;0;0;0;-1;1;-1;0;3;8
org.eclipse.swt.ole.win32;0;0;7;0;0;0;0;7;0;0;0;-1;0;32;0;1;0;0;0;-1;1;-1;0;2;0
org.eclipse.jdt.internal.debug.ui.jres;0;0;7;0;0;0;1;6;0;0;0;-1;0;8;0;2;0;0;0;-1;2;-1;0;1;2
org.eclipse.jface.text.templates.persistence;0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.ant.internal.ui.debug.model;1;0;9;1;0;0;0;9;427;0;1;98;427;216;5;4;0;5;5;98;4;98;1;3;1
