"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";0;0;6;0;0;0;0;6;0;0;0;-1;0;567;0;3;0;0;0;-1;3;-1;0;3;0
"2";"org.eclipse.update.internal.operations";0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
"3";"org.eclipse.pde.internal.core.schema";0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;14;0;0;0;0;14;0;0;0;-1;0;0;0;8;0;0;0;-1;8;-1;0;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;13;0;0;0;0;13;0;0;0;-1;0;0;0;5;0;0;0;-1;5;-1;0;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"9";"org.eclipse.debug.ui";0;0;13;0;0;0;0;13;199;0;1;33;199;54;6;7;0;6;6;33;7;33;1;2;1
"10";"org.eclipse.core.internal.localstore";0;0;9;0;0;0;0;9;0;0;0;-1;0;18;0;2;0;0;0;-1;2;-1;0;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;7;0;0;0;4;3;0;0;0;-1;0;0;0;0;2;0;0;-1;2;-1;0;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;3;0;0;0;-1;3;-1;0;0;0
"13";"org.eclipse.osgi.framework.eventmgr";0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;0
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
"15";"org.eclipse.core.resources.team";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
