"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"/org.eclipse.help/src/org/eclipse/help/internal/search/QueryWordsExactPhrase.java";1;0;1;1;0;0;0;1;0;0;1;2732;0;0;1;0;0;1;1;2732;0;2732;1;1;NA
"2";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";2;0;2;1;0;0;0;2;40;1;2;2060;64;64;1;0;0;2;2;2060;0;2555;2;2;NA
"3";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java";1;0;6;1;1;1;1;5;37;1;5;1242;54;54;1;0;0;5;6;1242;0;6336;6;1;NA
"4";"/org.eclipse.update.configurator/src/org/eclipse/update/internal/configurator/InstalledSiteParser.java";1;0;3;1;0;0;0;3;8;1;3;3265;8;8;1;0;0;3;3;3265;0;4095;3;1;NA
"5";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/repo/NewCVSAnonEclipseConnection.java";1;0;1;1;0;0;0;1;0;0;1;4519;0;0;1;0;0;1;1;4519;0;4519;1;1;NA
"6";"/org.eclipse.jdt.ui.tests.refactoring/resources/ChangeTypeRefactoring/positive/A_testLocalVarName_out.java";1;0;1;1;0;0;0;1;0;0;1;2844;0;0;1;0;0;1;1;2844;0;2844;1;1;NA
"7";"/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java";2;0;2;1;1;1;1;1;3;0;1;3013;3;3;1;0;0;1;2;3013;0;5536;2;2;NA
"8";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/ExceptionBreakpointFilterEditor.java";1;0;1;1;0;0;0;1;0;0;1;1484;0;0;1;0;0;1;1;1484;0;1484;1;1;NA
"9";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java";1;1;2;1;2;2;2;0;10;0;0;5431;10;10;1;0;0;0;2;5431;0;6336;2;1;NA
"10";"/org.eclipse.core.resources/src/org/eclipse/core/internal/events/AutoBuildJob.java";2;1;25;1;11;11;11;14;95;2;12;2057;324;324;2;2;0;14;25;2057;2;6265;23;2;NA
"11";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java";3;0;4;1;1;1;1;3;14;2;2;3759;28;28;2;1;0;3;4;3759;1;5396;3;3;NA
"12";"/org.eclipse.ant.ui/Ant Editor/org/eclipse/ant/internal/ui/editor/model/IAntEditorConstants.java";1;0;2;1;0;0;0;2;0;1;2;3661;0;0;1;0;0;2;2;3661;0;4224;2;1;NA
"13";"/org.eclipse.sdk.tests-feature/plugins/org.eclipse.perfmsr.ui.client/src/org/eclipse/perfmsr/ui/client/StepComparison.java";1;1;2;1;2;2;2;0;10;0;0;5443;10;10;1;0;0;0;2;5443;0;5513;2;1;NA
"14";"/org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/SourceElementParserTest.java";4;0;5;1;0;0;0;5;10;1;5;85;25;25;1;0;0;5;5;85;0;3560;5;4;NA
"15";"/org.eclipse.ui.forms.examples/src/org/eclipse/ui/forms/examples/internal/rcp/TypeTwoDetailsPage.java";1;1;6;1;2;2;2;4;19;2;3;4075;42;42;2;1;0;4;6;4284;1;6269;5;1;NA
"16";"/org.eclipse.swt/Eclipse SWT Printing/gtk/org/eclipse/swt/printing/Printer.java";4;1;8;2;2;2;2;6;15;2;5;0;37;37;2;1;0;6;8;2492;1;6352;7;4;NA
"17";"/org.eclipse.jdt.core.tests.model/workspace/Formatter/test306/A_in.java";1;0;1;1;0;0;0;1;0;0;1;2442;0;0;1;0;0;1;1;2442;0;2442;1;1;NA
"18";"/org.eclipse.update.ui.forms/Eclipse Forms/org/eclipse/ui/forms/widgets/FormToolkit.java";1;0;17;1;0;0;0;17;427;3;12;3138;776;776;3;5;0;17;17;3174;5;4157;12;1;NA
"19";"/org.eclipse.jdt.core.tests.model/workspace/Converter/src/test0255/Test.java";1;0;1;1;0;0;0;1;0;0;1;3714;0;0;1;0;0;1;1;3714;0;3714;1;1;NA
"20";"/org.eclipse.team.ui/src/org/eclipse/team/ui/synchronize/SyncInfoDiffCheckboxTreeViewer.java";1;0;1;1;0;0;0;1;0;0;1;3619;0;0;1;0;0;1;1;3619;0;3619;1;1;NA
"21";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/target/GetAction.java";2;0;4;1;0;0;0;4;5;1;4;790;10;10;1;0;0;4;4;790;0;2495;4;2;NA
"22";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";3;1;18;1;5;5;5;13;46;1;13;368;238;238;1;0;0;13;18;368;0;6336;18;3;NA
"23";"/org.eclipse.update.ui/srcnew/org/eclipse/update/internal/ui/wizards/UnifiedSitePage.java";3;0;22;2;0;0;0;22;366;4;14;329;1048;1048;4;8;0;22;22;572;8;825;14;3;NA
"24";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Caret.java";1;0;1;1;0;0;0;1;0;0;1;2327;0;0;1;0;0;1;1;2327;0;2327;1;1;NA
"25";"/org.eclipse.ui.ide/src/org/eclipse/ui/views/bookmarkexplorer/RemoveBookmarkAction.java";1;0;1;1;0;0;0;1;0;0;1;2208;0;0;1;0;0;1;1;2208;0;2208;1;1;NA
"26";"/org.eclipse.jdt.text.tests/src/org/eclipse/jdt/text/tests/SmartSemicolonAutoEditStrategyTest.java";1;1;2;1;2;2;2;0;2;0;0;5129;2;2;1;0;0;0;2;5129;0;6340;2;1;NA
"27";"/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CreateCompilationUnitTests.java";2;0;4;1;1;1;1;3;6;1;3;2722;10;10;1;0;0;3;4;2722;0;5397;4;2;NA
"28";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/ObjectContributorManager.java";2;0;3;1;0;0;0;3;253;1;3;2737;478;478;1;0;0;3;3;2737;0;3150;3;2;NA
"29";"/org.eclipse.jdt.ui.tests/activation/org/eclipse/jdt/ui/tests/activation/JavaActivationTest.java";2;0;2;1;1;1;1;1;2;0;1;3345;2;2;1;0;0;1;2;3345;0;6340;2;2;NA
"30";"/org.eclipse.jdt.debug.tests/tests/org/eclipse/jdt/debug/tests/core/DeferredBreakpointTests.java";1;0;1;1;0;0;0;1;2;0;1;2429;2;2;1;0;0;1;1;2429;0;2429;1;1;NA
"31";"/org.eclipse.pde.core/src_OSGi/org/eclipse/pde/internal/core/osgi/OSGiWorkspaceModelManager.java";2;0;11;1;0;0;0;11;300;2;10;2229;532;532;2;1;0;11;11;2376;1;4203;10;2;NA
"32";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/impl/JarFileDocument.java";2;0;3;1;0;0;0;3;7;1;3;883;10;10;1;0;0;3;3;883;0;3240;3;2;NA
"33";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/ResourcePathSorter.java";2;0;2;1;1;1;1;1;3;0;1;3711;5;5;1;0;0;1;2;3711;0;6340;2;2;NA
"34";"/org.eclipse.jdt.core.tests.model/workspace/Converter/test0268/Test.java";1;0;1;1;0;0;0;1;0;0;1;3714;0;0;1;0;0;1;1;3714;0;3714;1;1;NA
"35";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractConstant/canExtract/A_testZeroLengthSelection0_out.java";1;0;1;1;0;0;0;1;0;0;1;1687;0;0;1;0;0;1;1;1687;0;1687;1;1;NA
"36";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/convert/ConvertedProjectWizard.java";1;0;2;1;0;0;0;2;0;0;1;3839;0;0;2;1;0;2;2;3839;1;3839;1;1;NA
"37";"/org.eclipse.team.ui/src/org/eclipse/team/ui/sync/actions/SyncViewerShowPreferencesAction.java";1;0;1;1;0;0;0;1;0;0;1;2433;0;0;1;0;0;1;1;2433;0;2433;1;1;NA
"38";"/org.eclipse.team.ui/src/org/eclipse/team/ui/synchronize/viewers/SyncInfoDiffTreeViewer.java";1;0;1;1;0;0;0;1;0;0;1;3972;0;0;1;0;0;1;1;3972;0;3972;1;1;NA
"39";"/org.eclipse.ant.ui/Ant Tools Support/org/eclipse/ant/internal/ui/preferences/AntClasspathBlock.java";2;1;30;1;3;3;3;27;559;3;22;1811;1423;1423;3;5;0;27;30;2569;5;5802;25;2;NA
"40";"/org.eclipse.team.ftp/src/org/eclipse/team/internal/ftp/Policy.java";1;0;2;1;1;1;1;1;4;0;1;4216;6;6;1;0;0;1;2;4216;0;6337;2;1;NA
"41";"/org.eclipse.jdt.ui.tests.refactoring/resources/PasteSourceReference/test4/out/A.java";1;0;1;1;0;0;0;1;0;0;1;1311;0;0;1;0;0;1;1;1311;0;1311;1;1;NA
"42";"/org.eclipse.team.webdav/src/org/eclipse/team/ui/target/DepolymentProviderContentProvider.java";1;0;1;1;0;0;0;1;0;0;1;3461;0;0;1;0;0;1;1;3461;0;3461;1;1;NA
"43";"/org.eclipse.jdt.debug/jdi/org/eclipse/jdi/internal/TypeImpl.java";1;0;1;1;0;0;0;1;156;0;1;4267;156;156;1;0;0;1;1;4267;0;4267;1;1;NA
"44";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/jobs/JobStatusHandler.java";2;0;9;2;0;0;0;9;134;2;7;2008;378;378;2;2;0;9;9;2040;2;4216;7;2;NA
"45";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractMethodWorkSpace/ExtractMethodTests/try_out/A_test455.java";1;0;2;1;0;0;0;2;6;1;2;130;10;10;1;0;0;2;2;130;0;844;2;1;NA
"46";"/org.eclipse.search/search/org/eclipse/search/internal/core/text/TypedResourceVisitor.java";1;0;1;1;1;1;1;0;2;0;0;6340;2;2;1;0;0;0;1;6340;0;6340;1;1;NA
