filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.ui.views.bookmarkexplorer;1;0;2;1;0;0;0;2;0;0;1;2208;0;4;2;1;0;2;2;2208;1;2208;1;1;
org.eclipse.update.internal.operations;1;1;11;1;2;2;2;9;136;2;8;825;573;77;2;1;0;9;11;825;1;6336;10;2;
org.eclipse.pde.internal.core.schema;2;1;5;1;2;2;2;3;455;1;3;1124;665;63;1;0;0;3;5;1124;0;6336;5;3;
org.eclipse.jdt.internal.compiler.classfmt;2;0;8;1;0;0;0;8;39;1;8;25;100;39;1;0;0;8;8;25;0;4254;8;4;
org.eclipse.jdt.internal.core.hierarchy;0;1;28;0;3;3;3;25;615;3;21;61;1963;2;3;4;0;25;28;61;4;6073;24;1;
org.eclipse.team.internal.ui.wizards;1;1;12;1;6;6;6;6;1413;2;5;987;1614;72;2;1;0;6;12;987;1;6337;11;1;
org.eclipse.ui.externaltools.internal.program.launchConfigurations;2;0;13;1;0;0;0;13;64;2;12;219;188;89;2;1;0;13;13;1813;1;2120;12;3;
org.eclipse.jdi;0;1;5;0;2;2;2;3;7;2;2;1296;16;0;2;1;0;3;5;4264;1;5680;4;0;
org.eclipse.debug.ui;0;1;12;0;2;2;2;10;322;2;9;265;507;0;2;1;0;10;12;265;1;6336;11;0;
org.eclipse.core.internal.localstore;1;0;4;1;1;1;1;3;6233;2;2;93;6264;347;2;1;0;3;4;93;1;5146;3;2;
org.eclipse.ui.internal.intro.impl.parts;1;1;7;1;7;7;7;0;46;0;0;5305;78;10;1;0;0;0;7;5305;0;5867;7;1;
org.eclipse.pde.internal.build.builder;2;0;18;1;1;1;1;17;1478;2;15;447;1867;21;2;2;0;17;18;447;2;5145;16;2;
org.eclipse.osgi.framework.eventmgr;3;0;5;1;1;1;1;4;493;2;3;3013;1070;390;2;1;0;4;5;3013;1;5646;4;4;
org.eclipse.jdt.internal.junit.wizards;1;1;9;1;3;3;3;6;209;2;5;160;452;2;2;1;0;6;9;160;1;6340;8;2;
org.eclipse.core.resources.team;1;0;4;1;1;1;1;3;190;2;2;4994;222;84;2;1;0;3;4;4994;1;5146;3;1;
org.eclipse.search2.internal.ui.text;1;2;16;1;9;8;9;7;121;1;7;3474;421;4;2;0;1;7;16;5815;1;6116;15;1;
org.eclipse.update.core;1;1;5;1;2;2;2;3;283;2;2;0;784;578;2;1;0;3;5;0;1;6336;4;2;
org.eclipse.ui.externaltools.internal.launchConfigurations;0;1;35;0;3;3;3;32;262;2;30;33;1284;0;2;2;0;32;35;321;2;5694;33;0;
org.eclipse.ui.commands;2;1;17;1;2;2;2;15;979;3;13;1065;4441;373;3;2;0;15;17;4952;2;5444;15;3;
org.eclipse.debug.internal.core.sourcelookup.containers;2;0;7;2;1;1;1;6;121;3;2;3678;151;52;3;4;0;6;7;3678;4;5672;3;2;
org.eclipse.core.internal.indexing;2;0;3;1;1;1;1;2;1830;0;1;178;1865;281;2;1;0;2;3;178;1;5146;2;2;
org.eclipse.core.internal.plugins;2;1;9;1;3;3;3;6;344;2;5;3013;626;8;2;1;0;6;9;3013;1;6340;8;2;
org.eclipse.compare.internal;0;1;8;0;2;2;2;6;202;1;6;257;598;0;1;0;0;6;8;257;0;6354;8;1;
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;24;1;3;257;51;0;1;0;0;3;3;257;0;3938;3;0;
org.eclipse.team.internal.ccvs.core.client;1;0;6;1;0;0;0;6;109;1;6;712;211;11;1;0;0;6;6;712;0;2461;6;1;
