"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;1;0;0;0;6;3846;2;5;123;4459;567;2;1;0;6;6;123;1;3322;5;3;NA
"2";"org.eclipse.update.internal.operations";1;0;4;1;0;0;0;4;110;1;4;1207;215;14;1;0;0;4;4;1207;0;3240;4;1;NA
"3";"org.eclipse.pde.internal.core.schema";1;0;7;1;0;0;0;7;948;1;7;423;1613;6;1;0;0;7;7;423;0;3149;7;1;NA
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;17;0;0;0;0;17;524;4;13;60;1249;0;4;4;0;17;17;2103;4;3136;13;0;NA
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;13;0;0;0;0;13;219;2;11;60;575;0;2;2;0;13;13;60;2;3877;11;0;NA
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;93;2;4;518;217;0;2;1;0;5;5;518;1;3799;4;0;NA
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;74;1;3;2759;119;0;1;0;0;3;3;2759;0;3834;3;0;NA
"8";"org.eclipse.jdi";0;0;3;0;0;0;0;3;27;2;2;1961;33;0;2;1;0;3;3;3163;1;3163;2;0;NA
"9";"org.eclipse.debug.ui";1;0;14;1;0;0;0;14;176;1;14;42;510;54;1;0;0;14;14;42;0;3157;14;2;NA
"10";"org.eclipse.core.internal.localstore";2;0;10;1;0;0;0;10;334;2;9;454;954;18;2;1;0;10;10;2556;1;3111;9;2;NA
"11";"org.eclipse.ui.internal.intro.impl.parts";0;1;7;0;4;4;4;3;22;1;3;3240;84;0;1;0;0;3;7;3240;0;4528;7;0;NA
"12";"org.eclipse.pde.internal.build.builder";0;0;7;0;0;0;0;7;98;1;7;43;225;0;1;0;0;7;7;43;0;3111;7;0;NA
"13";"org.eclipse.osgi.framework.eventmgr";0;1;4;0;2;2;2;2;198;0;1;3111;230;0;2;1;0;2;4;3111;1;4717;3;0;NA
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;47;1;4;342;97;0;1;0;0;4;4;342;0;3958;4;1;NA
"15";"org.eclipse.core.resources.team";0;0;3;0;1;1;1;2;35;1;2;1187;56;0;1;0;0;2;3;1187;0;4873;3;0;NA
"16";"org.eclipse.search2.internal.ui.text";0;0;8;0;1;1;1;7;137;1;7;1328;281;0;1;0;0;7;8;1328;0;5012;8;0;NA
"17";"org.eclipse.pde.internal.core.iproduct";2;0;3;1;0;0;0;3;110;2;2;2467;110;46;2;1;0;3;3;2467;1;3149;2;2;NA
"18";"org.eclipse.swt.internal.gdip";2;0;3;1;0;0;0;3;38;2;2;2961;38;10;2;1;0;3;3;2961;1;3223;2;2;NA
"19";"org.eclipse.update.core";2;0;4;1;0;0;0;4;302;1;4;583;373;24;1;0;0;4;4;583;0;3240;4;2;NA
"20";"org.eclipse.ant.internal.ui.antsupport.inputhandler";1;0;6;1;1;1;1;5;14;2;4;1553;44;21;2;1;0;5;6;1573;1;4486;5;1;NA
"21";"org.eclipse.ui.commands";0;0;11;0;0;0;0;11;516;2;10;123;1231;0;2;1;0;11;11;123;1;3655;10;1;NA
