"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/templates/IntroNewWizard.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;2;0;1;0;0;0;-1;1;-1;0;1;0
"2";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;18;0;1;0;0;0;-1;1;-1;0;2;0
"3";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;22;0;1;0;0;0;-1;1;-1;0;2;0
"4";"/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java";0;0;4;0;0;0;1;3;0;0;0;-1;0;1177;0;2;0;0;0;-1;2;-1;0;2;1
"5";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;12;0;1;0;0;0;-1;1;-1;0;2;0
"6";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/search/dependencies/DependencyExtentQuery.java";0;0;5;0;0;0;0;5;0;0;0;-1;0;36;0;3;0;0;0;-1;3;-1;0;2;0
"7";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java";0;0;4;0;0;0;0;4;0;0;0;-1;0;52;0;2;0;0;0;-1;2;-1;0;3;0
"8";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";0;0;6;0;0;0;0;6;0;0;0;-1;0;270;0;4;0;0;0;-1;4;-1;0;2;0
"9";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/ObjectContributorManager.java";2;0;10;2;0;0;0;10;581;0;1;21;581;1277;9;8;0;9;9;21;8;21;1;2;0
"10";"/org.eclipse.ant.ui/Ant Tools Support/org/eclipse/ant/internal/ui/preferences/AntClasspathBlock.java";2;0;6;2;0;0;1;5;151;0;1;28;151;157;5;3;1;5;5;28;4;28;1;2;0
"11";"/org.eclipse.ui.editors/src/org/eclipse/ui/internal/editors/text/ConvertLineDelimitersAction.java";0;0;7;0;0;0;2;5;0;0;0;-1;0;49;0;3;1;0;0;-1;4;-1;0;2;0
"12";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/search/AbstractSearchResultPage.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;2;0
"13";"/org.eclipse.jdt.debug/jdi interfaces/com/sun/jdi/request/InvalidRequestStateException.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;2;0
"14";"/org.eclipse.swt/Eclipse SWT/motif/org/eclipse/swt/widgets/ColorDialog.java";0;0;4;0;0;0;1;3;0;0;0;-1;0;14;0;1;0;0;0;-1;1;-1;0;3;0
"15";"/org.eclipse.core.runtime/src/org/eclipse/core/runtime/QualifiedName.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;12;0;0;0;0;0;-1;0;-1;0;1;0
"16";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/SearchResultUpdater.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;17;0;0;0;0;0;-1;0;-1;0;2;0
"17";"/org.eclipse.team.cvs.core/src/org/eclipse/team/internal/ccvs/core/client/AbstractStructureVisitor.java";0;0;6;0;0;0;0;6;0;0;0;-1;0;128;0;3;0;0;0;-1;3;-1;0;1;0
"18";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/spelling/engine/PersistentSpellDictionary.java";0;0;3;0;0;0;2;1;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;2;0
"19";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/AddToVersionControlDialog.java";0;0;3;0;0;0;1;2;0;0;0;-1;0;45;0;1;1;0;0;-1;2;-1;0;1;0
"20";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/ui/wizards/IClasspathContainerPageExtension.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;2;0
