"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;2;0;0;0;6;3846;3;2;2;4424;567;3;3;0;5;5;35;3;35;2;3;0
"2";"org.eclipse.update.internal.operations";0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
"3";"org.eclipse.pde.internal.core.schema";0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;10;0;0;0;0;10;524;3;3;1;1075;0;3;4;0;7;7;12;4;23;3;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;11;0;0;0;0;11;44;2;2;1;71;0;2;2;0;4;4;1;2;23;2;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;71;0;1;8;71;0;2;1;0;2;2;8;1;8;1;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"9";"org.eclipse.debug.ui";0;0;9;0;0;0;0;9;164;0;1;8;164;54;2;1;0;2;2;8;1;8;1;2;1
"10";"org.eclipse.core.internal.localstore";0;0;8;0;0;0;0;8;812;0;1;28;812;18;3;2;0;3;3;28;2;28;1;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;6;0;2;1;3;3;37;0;0;44;37;0;2;0;1;0;2;44;1;44;1;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;6;0;0;0;0;6;270;0;1;32;270;0;3;2;0;3;3;32;2;32;1;0;0
"13";"org.eclipse.osgi.framework.eventmgr";0;0;4;0;0;0;2;2;24;0;1;34;24;0;2;1;0;2;2;34;1;34;1;0;0
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
"15";"org.eclipse.core.resources.team";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"16";"org.eclipse.search2.internal.ui.text";0;0;8;0;0;0;1;7;155;0;1;19;155;0;2;1;0;2;2;19;1;19;1;0;2
"17";"org.eclipse.pde.internal.core.iproduct";1;0;3;1;0;0;0;3;16;0;1;29;16;46;2;1;0;2;2;29;1;29;1;2;0
"18";"org.eclipse.swt.internal.gdip";1;0;3;1;0;0;0;3;0;0;1;33;0;10;2;1;0;2;2;33;1;33;1;2;3
"19";"org.eclipse.update.core";0;0;5;0;0;0;0;5;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
"20";"org.eclipse.ant.internal.ui.antsupport.inputhandler";1;0;5;1;0;0;1;4;22;0;1;19;22;21;2;1;0;2;2;19;1;19;1;1;2
"21";"org.eclipse.ui.commands";0;0;9;0;0;0;0;9;516;2;3;2;894;0;2;3;0;6;6;2;3;38;3;1;0
"22";"org.eclipse.debug.internal.core.sourcelookup.containers";1;0;4;1;0;0;0;4;56;0;1;35;56;14;2;1;0;2;2;35;1;35;1;2;0
"23";"org.eclipse.ui.externaltools.internal.launchConfigurations";0;0;6;0;0;0;0;6;198;0;1;40;198;0;2;1;0;2;2;40;1;40;1;0;2
"24";"org.eclipse.core.internal.plugins";0;0;4;0;0;0;0;4;104;0;1;21;104;0;3;2;0;3;3;21;2;21;1;0;0
"25";"org.eclipse.core.internal.indexing";1;0;4;1;0;0;0;4;146;0;1;32;146;215;2;1;0;2;2;32;1;32;1;2;0
