filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;2;0;0;0;6;3846;4;2;2;4486;567;4;4;0;6;6;31;4;31;2;3;0
org.eclipse.update.internal.operations;1;0;4;1;0;0;0;4;110;3;2;15;215;14;3;2;0;4;4;15;2;36;2;1;0
org.eclipse.pde.internal.core.schema;1;0;7;1;0;0;0;7;2491;6;2;7;2613;6;6;5;0;7;7;7;5;35;2;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;10;0;0;0;0;10;763;8;2;1;1287;0;8;8;0;10;10;12;8;12;2;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;11;0;0;0;0;11;301;9;2;1;600;0;9;9;0;11;11;1;9;35;2;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;147;2;3;8;222;0;2;2;0;5;5;8;2;35;3;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;131;0;1;32;131;0;3;2;0;3;3;32;2;32;1;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;27;1;2;23;33;0;1;0;0;2;2;23;0;35;2;0;0
org.eclipse.debug.ui;2;0;9;2;0;0;0;9;343;7;2;1;548;54;7;7;0;9;9;1;7;30;2;2;1
org.eclipse.core.internal.localstore;2;0;8;2;0;0;0;8;1212;0;1;7;1212;18;8;7;0;8;8;7;7;7;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;6;0;0;0;3;3;84;0;1;36;84;0;6;2;3;6;6;36;5;36;1;0;0
org.eclipse.pde.internal.build.builder;0;0;6;0;0;0;0;6;348;5;2;1;349;0;5;4;0;6;6;24;4;24;2;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;2;1;2;2;206;0;1;34;230;0;2;1;1;2;4;34;2;47;2;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;92;3;2;6;97;0;3;2;0;4;4;28;2;28;2;1;2
org.eclipse.core.resources.team;0;0;3;0;1;1;1;2;35;1;2;15;56;0;1;0;0;2;3;15;0;50;3;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;180;4;2;17;281;0;4;5;1;8;8;17;6;35;2;0;2
org.eclipse.pde.internal.core.iproduct;2;0;3;2;0;0;0;3;126;0;1;29;126;46;3;2;0;3;3;29;2;29;1;2;0
org.eclipse.swt.internal.gdip;2;0;3;2;0;0;0;3;41;0;1;33;41;10;3;2;0;3;3;33;2;33;1;2;3
org.eclipse.update.core;2;0;5;1;0;0;0;5;306;3;2;9;377;24;3;3;0;5;5;9;3;30;2;2;0
org.eclipse.ant.internal.ui.antsupport.inputhandler;1;0;5;1;0;0;1;4;22;3;2;19;44;21;3;2;1;5;5;35;3;35;2;1;2
org.eclipse.ui.commands;0;0;9;0;0;0;0;9;701;5;2;2;1382;0;5;7;0;9;9;32;7;32;2;1;0
org.eclipse.debug.internal.core.sourcelookup.containers;2;0;4;2;0;0;0;4;163;0;1;35;163;14;4;3;0;4;4;35;3;35;1;2;0
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;6;0;0;0;0;6;240;3;2;18;349;0;3;4;0;6;6;18;4;35;2;0;2
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;104;3;2;21;182;0;3;2;0;4;4;21;2;34;2;0;0
org.eclipse.core.internal.indexing;2;0;4;2;0;0;0;4;1285;0;1;32;1285;215;4;3;0;4;4;32;3;32;1;2;0
org.eclipse.ui.internal.part;3;0;5;3;0;0;0;5;771;0;1;33;771;219;5;4;0;5;5;33;4;33;1;3;0
org.eclipse.compare.internal;1;0;6;1;1;1;1;5;448;2;3;8;876;16;2;2;0;5;6;8;2;50;4;1;2
org.eclipse.compare.structuremergeviewer;1;0;3;1;0;0;0;3;94;1;3;8;144;16;1;0;0;3;3;8;0;35;3;1;0
org.eclipse.team.internal.ccvs.core.client;1;0;8;1;0;0;0;8;772;4;3;8;1109;65;4;5;0;8;8;32;5;32;3;1;1
org.eclipse.jdt.core;2;0;8;2;0;0;0;8;1334;4;3;1;2811;81;4;5;0;8;8;1;5;32;3;3;8
org.eclipse.swt.ole.win32;1;0;7;1;0;0;0;7;224;6;2;1;371;32;6;5;0;7;7;1;5;35;2;2;0
org.eclipse.jdt.internal.debug.ui.jres;1;0;6;1;0;0;1;5;321;4;2;1;358;8;4;3;1;6;6;28;4;28;2;1;2
org.eclipse.jface.text.templates.persistence;0;0;6;0;0;0;2;4;230;3;2;13;290;0;3;2;2;6;6;13;4;35;2;0;0
org.eclipse.ant.internal.ui.debug.model;1;0;7;1;0;0;0;7;1211;0;1;20;1211;216;7;6;0;7;7;20;6;20;1;3;1
org.eclipse.search.internal.ui;3;0;7;3;0;0;1;6;1260;5;3;1;1366;22;5;3;1;7;7;35;4;35;3;3;3
org.eclipse.jdt.internal.ui.javaeditor.selectionactions;0;0;7;0;0;0;1;6;334;6;2;4;338;0;6;4;1;7;7;22;5;22;2;0;0
org.eclipse.pde.internal.ui.preferences;0;0;9;0;0;0;0;9;814;5;2;7;1405;0;5;7;0;9;9;7;7;35;2;0;0
org.eclipse.jdt.internal.formatter;0;0;5;0;0;0;0;5;2151;2;3;1;2490;0;2;2;0;5;5;1;2;33;3;0;3
org.eclipse.jdt.internal.corext.dom.fragments;2;0;3;1;1;1;1;2;64;0;1;35;80;30;2;1;0;2;3;35;1;51;2;2;0
org.eclipse.compare.contentmergeviewer;0;0;5;0;0;0;0;5;30;3;3;9;57;0;3;2;0;5;5;21;2;35;3;0;0
org.eclipse.ui.internal.preferences;2;0;3;1;0;0;0;3;122;2;2;8;122;32;2;1;0;3;3;8;1;35;2;3;1
org.eclipse.team.internal.ui.preferences;0;0;9;0;0;0;1;8;493;7;2;8;528;0;7;6;1;9;9;24;7;24;2;0;0
org.eclipse.jdt.internal.debug.eval.ast.engine;0;0;6;0;1;1;1;5;576;4;2;1;800;0;4;3;0;5;6;1;3;49;3;0;2
org.eclipse.search.internal.ui.util;1;0;4;1;0;0;0;4;263;0;1;26;263;8;4;3;0;4;4;26;3;26;1;1;1
org.eclipse.pde.internal.ui.parts;1;0;3;1;0;0;0;3;108;2;2;12;117;39;2;1;0;3;3;12;1;35;2;2;0
org.eclipse.team.internal.ccvs.ui.subscriber;1;0;17;1;0;0;1;16;3382;0;1;8;3382;448;17;15;1;17;17;8;16;8;1;2;0
org.eclipse.debug.internal.ui.memory;2;0;5;2;1;1;1;4;101;0;1;29;101;208;4;3;0;4;5;29;3;45;2;2;0
org.eclipse.debug.internal.core;2;0;6;1;0;0;0;6;321;5;2;4;489;50;5;4;0;6;6;4;4;35;2;3;5
org.eclipse.swt.program;0;0;13;0;0;0;3;10;2304;9;2;6;3286;0;9;8;3;13;13;22;11;22;2;0;0
org.osgi.service.prefs;1;0;2;1;1;1;1;1;1410;0;1;20;1421;1325;1;0;0;1;2;20;0;46;2;1;3
org.eclipse.ui.internal.presentations.defaultpresentation;2;0;6;2;2;1;2;4;194;3;2;8;321;18;3;2;1;4;6;8;3;45;3;2;1
org.eclipse.ui.internal.components.registry;2;0;3;2;0;0;0;3;96;0;1;34;96;38;3;2;0;3;3;34;2;34;1;2;1
org.osgi.service.url;0;0;4;0;1;1;1;3;634;0;1;29;721;0;3;2;0;3;4;29;2;46;2;0;0
org.eclipse.jface.text.link;0;0;9;0;0;0;2;7;648;6;2;12;1080;0;6;5;2;9;9;12;7;35;2;0;0
org.eclipse.ui.internal.components.framework;1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
org.eclipse.core.runtime.internal.adaptor;1;0;3;1;3;1;3;0;11;0;0;47;11;19;3;0;2;0;3;47;2;47;1;1;4
org.eclipse.jdt.internal.codeassist.select;2;0;5;1;0;0;0;5;253;3;3;0;603;34;3;2;0;5;5;0;2;35;3;3;1
org.eclipse.ui.forms.widgets;1;0;9;1;0;0;3;6;2224;0;1;8;2224;585;9;5;3;9;9;8;8;8;1;1;0
org.eclipse.team.internal.ui.registry;1;0;4;1;0;0;0;4;24;2;3;8;41;19;2;1;0;4;4;8;1;35;3;1;0
org.eclipse.help;2;0;3;2;0;0;0;3;47;0;1;29;47;13;3;2;0;3;3;29;2;29;1;2;0
org.eclipse.update.internal.search;0;0;2;0;0;0;0;2;36;1;2;11;48;0;1;0;0;2;2;11;0;36;2;0;0
org.eclipse.jdt.internal.eval;0;0;7;0;0;0;0;7;781;3;3;1;1704;0;3;4;0;7;7;35;4;35;3;0;17
org.eclipse.jdt.internal.debug.core;0;0;5;0;1;1;1;4;53;2;2;11;101;0;2;2;0;4;5;11;2;50;3;0;0
org.eclipse.pde.internal.ui.model.plugin;1;0;4;1;1;1;1;3;132;2;2;22;201;12;2;1;0;3;4;22;1;47;3;2;0
org.eclipse.jdt.core.search;2;0;7;2;0;0;0;7;893;4;2;1;1695;9;4;5;0;7;7;1;5;35;2;2;1
org.eclipse.osgi.service.pluginconversion;0;0;3;0;1;1;1;2;31;1;2;23;40;0;1;0;0;2;3;23;0;48;3;0;0
org.eclipse.jdt.internal.ui.preferences;5;0;18;5;0;0;2;16;8451;0;1;3;8451;414;18;15;2;18;18;3;17;3;1;5;12
org.eclipse.jdt.internal.debug.ui.breakpoints;2;0;7;2;0;0;3;4;1226;0;1;23;1226;67;7;3;3;7;7;23;6;23;1;3;0
org.eclipse.pde.internal.core.plugin;2;0;11;2;0;0;2;9;2116;0;1;12;2116;51;11;8;2;11;11;12;10;12;1;2;1
org.eclipse.ui.contentassist;0;0;7;0;0;0;4;3;122;6;2;21;136;0;6;1;4;7;7;35;5;35;2;0;0
org.eclipse.jdt.internal.core.dom.rewrite;1;0;12;1;0;0;0;12;906;8;2;1;1594;772;8;10;0;12;12;16;10;16;2;4;2
org.eclipse.ui.themes;0;0;3;0;0;0;0;3;173;2;2;2;213;0;2;1;0;3;3;2;1;35;2;0;1
org.eclipse.jdt.internal.ui.text.folding;0;0;6;0;0;0;2;4;732;0;1;32;732;0;6;3;2;6;6;32;5;32;1;0;0
org.eclipse.jdt.internal.ui.refactoring.nls.search;0;0;3;0;1;1;1;2;96;1;2;8;112;0;1;0;0;2;3;8;0;51;3;0;1
org.eclipse.pde.internal.build.tasks;0;0;8;0;0;0;1;7;232;6;2;10;299;0;6;5;1;8;8;24;6;24;2;0;0
org.eclipse.jdt.internal.corext.refactoring.structure.constraints;0;0;11;0;0;0;2;9;6197;0;1;32;6197;0;11;8;2;11;11;32;10;32;1;0;1
org.eclipse.ui.internal.texteditor.quickdiff.compare.rangedifferencer;3;0;8;1;0;0;2;6;450;3;3;2;617;372;3;3;2;8;8;2;5;35;3;3;0
org.eclipse.jdt.internal.ui.refactoring.contentassist;1;0;11;1;0;0;2;9;426;0;1;18;426;0;11;8;2;11;11;18;10;18;1;1;0
org.eclipse.pde.internal.ui.view;2;0;8;1;0;0;0;8;1311;7;2;7;1493;6;7;6;0;8;8;7;6;35;2;2;0
org.eclipse.osgi.util;0;0;7;0;0;0;3;4;394;0;1;29;394;0;7;3;3;7;7;29;6;29;1;0;1
org.eclipse.ui.texteditor.templates;0;0;6;0;0;0;1;5;642;3;2;15;680;0;3;3;1;6;6;15;4;34;2;0;1
org.eclipse.pde.internal.runtime.registry;1;0;4;1;0;0;0;4;258;2;2;14;270;20;2;2;0;4;4;14;2;35;2;1;18
org.eclipse.core.runtime.jobs;1;0;8;1;0;0;2;6;238;6;2;6;256;19;6;4;2;8;8;23;6;23;2;1;0
org.eclipse.ant.internal.ui.editor.formatter;1;0;5;1;1;1;1;4;58;2;2;11;122;10;2;2;0;4;5;11;2;47;3;1;0
org.eclipse.jdt.internal.ui.wizards.dialogfields;2;0;4;1;1;1;1;3;120;1;3;10;155;19;1;0;0;3;4;10;0;51;4;3;0
org.eclipse.team.internal.ui.synchronize.actions;1;0;6;1;0;0;0;6;573;5;2;7;697;391;5;4;0;6;6;7;4;35;2;2;0
org.eclipse.help.internal.search;1;0;7;1;0;0;1;6;1513;4;2;6;1700;12;4;4;1;7;7;6;5;30;2;2;0
org.eclipse.ui.internal.browser;3;0;4;3;0;0;1;3;1165;0;1;39;1165;66;4;2;1;4;4;39;3;39;1;3;0
org.eclipse.team.internal.ui;0;0;7;0;0;0;0;7;499;4;2;8;545;0;4;5;0;7;7;23;5;23;2;0;3
org.eclipse.help.browser;0;0;1;0;0;0;0;1;4;0;1;35;4;0;1;0;0;1;1;35;0;35;1;0;0
org.eclipse.debug.ui.sourcelookup;0;0;4;0;0;0;0;4;54;3;2;22;54;0;3;2;0;4;4;32;2;32;2;0;0
org.eclipse.ui.internal.commands;0;0;9;0;0;0;0;9;2130;8;2;2;2159;0;8;7;0;9;9;25;7;25;2;0;0
org.eclipse.team.internal.core;1;0;6;1;0;0;0;6;175;3;3;8;417;22;3;3;0;6;6;8;3;34;3;1;3
org.eclipse.ui.internal.part.components.services;1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
org.eclipse.pde.internal.ui.editor.plugin.rows;0;0;5;0;0;0;0;5;140;2;4;3;254;0;2;1;0;5;5;3;1;35;4;0;0
org.eclipse.jdt.launching.sourcelookup.containers;0;0;5;0;1;1;1;4;49;3;2;1;70;0;3;2;0;4;5;1;2;49;3;0;0
org.eclipse.search2.internal.ui;3;0;6;3;0;0;2;4;517;0;1;18;517;46;6;3;2;6;6;18;5;18;1;3;1
org.eclipse.jdt.internal.ui.filters;2;0;4;1;1;1;1;3;178;2;2;19;221;40;2;1;0;3;4;19;1;51;3;3;0
org.eclipse.ui.wizards;3;0;5;3;0;0;1;4;51;0;1;31;51;13;5;3;1;5;5;31;4;31;1;3;0
org.eclipse.jdt.internal.corext.refactoring.typeconstraints.typesets;1;0;4;1;2;1;2;2;349;0;1;38;537;0;2;1;1;2;4;38;2;49;2;1;1
org.eclipse.jface.bindings.keys.formatting;0;0;6;0;0;0;0;6;926;0;1;25;926;0;6;5;0;6;6;25;5;25;1;0;0
org.eclipse.ui.internal.ide.misc;0;0;5;0;1;1;1;4;4511;2;2;2;4687;0;2;2;0;4;5;2;2;51;3;0;0
org.eclipse.pde.internal.ui.editor.plugin;2;0;7;2;0;0;0;7;809;4;2;3;1110;537;4;5;0;7;7;3;5;31;2;2;0
org.eclipse.ui.internal.misc;1;0;6;1;0;0;0;6;1910;4;2;2;2078;201;4;4;0;6;6;21;4;21;2;3;1
org.eclipse.ui.internal.components.util;1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
org.eclipse.jdt.internal.corext.refactoring.structure;1;0;30;1;0;0;6;24;18818;0;1;1;18818;0;30;23;6;30;30;1;29;1;1;2;1
org.eclipse.jdt.internal.compiler.env;1;0;5;1;0;0;0;5;172;2;3;1;290;85;2;2;0;5;5;1;2;35;3;3;0
org.eclipse.help.search;0;0;5;0;0;0;1;4;325;0;1;31;325;0;5;3;1;5;5;31;4;31;1;0;0
org.eclipse.jdt.internal.compiler.lookup;1;0;9;1;0;0;1;8;5292;6;3;1;9382;29;6;5;1;9;9;31;6;31;3;5;53
org.eclipse.core.runtime.internal.stats;1;0;2;1;2;1;2;0;0;0;0;47;0;0;2;0;1;0;2;47;1;47;1;1;0
org.eclipse.help.internal.model;0;0;2;0;0;0;0;2;32;0;1;35;32;0;2;1;0;2;2;35;1;35;1;0;0
org.eclipse.jdt.internal.compiler.util;1;0;3;1;0;0;0;3;126;2;2;4;141;8;2;1;0;3;3;4;1;35;2;2;5
org.eclipse.core.internal.refresh;0;0;8;0;1;1;1;7;238;6;2;10;253;0;6;5;0;7;8;20;5;47;3;0;2
org.eclipse.help.internal.webapp.servlet;0;0;5;0;0;0;2;3;469;3;3;1;479;0;3;0;2;5;5;35;2;35;3;0;0
org.eclipse.jdt.internal.ui.typehierarchy;2;0;4;2;0;0;0;4;319;0;1;21;319;56;4;3;0;4;4;21;3;21;1;3;0
org.eclipse.ant.internal.ui.editor.actions;1;0;14;1;0;0;2;12;485;0;1;15;485;45;14;11;2;14;14;15;13;15;1;1;0
org.eclipse.update.internal.configurator;2;0;4;1;0;0;0;4;208;2;3;6;378;65;2;1;0;4;4;6;1;36;3;2;0
org.eclipse.ui.internal.progress;1;0;5;1;0;0;0;5;15426;2;3;2;16725;188;2;2;0;5;5;2;2;35;3;1;4
org.eclipse.jdt.internal.junit.ui;3;0;7;1;1;1;1;6;323;5;2;7;689;102;5;4;0;6;7;7;4;51;3;4;6
org.eclipse.debug.ui.memory;2;0;6;2;0;0;0;6;1478;0;1;28;1478;91;6;5;0;6;6;28;5;28;1;3;0
org.eclipse.ant.internal.ui.views.actions;0;0;6;0;0;0;0;6;275;3;2;11;536;0;3;4;0;6;6;11;4;32;2;0;0
org.eclipse.jdt.internal.compiler.problem;1;0;6;1;1;1;1;5;1637;4;2;1;2961;8;4;3;0;5;6;1;3;45;3;1;4
org.eclipse.jdt.internal.debug.core.refactoring;2;0;4;2;0;0;0;4;222;2;2;12;232;26;2;2;0;4;4;12;2;35;2;2;0
org.eclipse.ui.branding;0;0;2;0;0;0;0;2;76;1;2;2;86;0;1;0;0;2;2;2;0;35;2;0;0
org.eclipse.search.ui.text;2;0;4;2;0;0;0;4;69;3;2;5;73;23;3;2;0;4;4;20;2;20;2;3;0
